eps,alpha,B,dim,Deff
0.1,0.02,3,4,1.5426749523449084
0.1,0.02,4,5,1.5650509316566381
0.1,0.005,4,2,1.6896687023995056
0.1,0.01,4,3,1.6332650653679794
0.1,0.01,2,2,1.5783152269098322
0.1,0.02,2,4,1.730229245447516
0.1,0.01,3,3,1.7295248689011802
0.1,0.02,3,4,1.6311244774321907
0.1,0.005,2,5,1.5948553039755193
0.1,0.02,4,5,1.4832990902189453
0.1,0.005,4,2,1.55257483505988
0.1,0.01,4,3,1.6752497556968058
0.1,0.01,2,2,1.6175048488250503
0.1,0.02,2,4,1.6103343608842178
0.1,0.02,3,5,1.4043487937708186
0.1,0.01,3,3,1.7081677297101057
0.1,0.02,4,5,1.5869305886393785
0.1,0.005,2,5,1.6405299442112187
0.1,0.005,4,2,1.612258227283978
0.1,0.01,4,4,1.5713754683586574
0.1,0.01,2,3,1.6565018603668915
0.1,0.02,2,4,1.552442579206179
0.1,0.02,3,5,1.4900820280863785
0.1,0.02,4,5,1.5384850203174196
0.1,0.01,3,3,1.7304525285819912
0.1,0.005,3,2,1.6909275384526459
0.1,0.005,4,2,1.7060811990819293
0.1,0.02,2,4,1.6572875921269925
0.1,0.01,4,4,1.6434730109873223
0.1,0.01,2,3,1.7937482178969835
0.1,0.02,3,5,1.5767138614383687
0.2,0.005,2,2,1.6426776523597657
0.1,0.01,3,3,1.7262704012743186
0.1,0.005,3,2,1.618206984938928
0.1,0.005,4,2,1.6519916633804368
0.1,0.02,2,5,1.5438406947143286
0.1,0.01,4,4,1.606373147240739
0.1,0.02,3,5,1.4757512194094435
0.1,0.01,2,3,1.7418132460559541
0.2,0.005,2,2,1.7360393502813023
0.1,0.01,3,4,1.608545396682973
0.1,0.005,3,2,1.7137776676729306
0.1,0.02,2,5,1.6309292708392864
0.1,0.005,4,3,1.6989475369604505
0.1,0.02,3,5,1.3706186182728028
0.1,0.01,4,4,1.7340385238247367
0.1,0.01,2,3,1.676790240204606
0.2,0.005,2,2,1.5891055095948776
0.1,0.01,3,4,1.5848978972398258
0.1,0.005,3,2,1.6701347475521848
0.1,0.02,4,2,1.5949957033681978
0.1,0.02,2,5,1.514873544484467
0.1,0.005,4,3,1.7228463430998118
0.1,0.01,4,4,1.6090603581552427
0.1,0.01,2,3,1.7541508534372514
0.2,0.005,2,2,1.6175327996212996
0.1,0.01,3,4,1.4872454649721678
0.1,0.02,4,2,1.5903576286754602
0.1,0.005,3,2,1.6208304069953632
0.1,0.02,2,5,1.424523294693909
0.1,0.005,4,3,1.7245378791395773
0.1,0.01,4,5,1.6726114202890194
0.1,0.01,2,4,1.6290730412314216
0.1,0.02,4,2,1.5954971216346412
0.2,0.005,2,2,1.615376257288865
0.1,0.01,3,4,1.6159229226977294
0.1,0.02,2,5,1.4707899066960657
0.1,0.005,3,3,1.6856050872225554
0.1,0.005,4,3,1.6759799013164867
0.1,0.01,4,5,1.63672971573905
0.1,0.01,2,4,1.5229421223613235
0.1,0.02,4,2,1.5468392697172872
0.2,0.005,2,3,1.7457046093825295
0.1,0.02,3,2,1.5576321007952398
0.1,0.01,3,4,1.5955318412328054
0.1,0.005,3,3,1.7266715943197872
0.1,0.005,4,3,1.6734086298255852
0.1,0.02,4,2,1.6157294429080566
0.1,0.01,4,5,1.450577593340978
0.1,0.01,2,4,1.6887827705940976
0.1,0.02,3,2,1.4599836617469428
0.2,0.005,2,3,1.7037974101852924
0.1,0.01,3,5,1.6484800719589292
0.1,0.005,3,3,1.7235806019215771
0.1,0.02,4,3,1.6034162715165932
0.1,0.005,4,4,1.5469074281422364
0.1,0.01,4,5,1.4971019567122497
0.1,0.02,3,2,1.5255588077307716
0.1,0.01,2,4,1.6666871836299202
0.2,0.005,2,3,1.7562531815012818
0.1,0.01,3,5,1.6193120486039239
0.1,0.005,3,3,1.7124857188094604
0.1,0.02,4,3,1.5664396832875758
0.1,0.005,4,4,1.5804755446910903
0.1,0.02,3,2,1.5815587250664067
0.1,0.01,4,5,1.4656696131028488
0.1,0.01,2,4,1.5624825753833873
0.2,0.005,2,3,1.740065940853656
0.1,0.02,4,3,1.5837385847542877
0.1,0.01,3,5,1.6339100958066053
0.1,0.005,3,3,1.7541553020573044
0.1,0.02,3,2,1.5274428590568916
0.1,0.005,4,4,1.588712196935463
0.1,0.02,2,2,1.4794136636555317
0.1,0.01,2,5,1.655175970987204
0.1,0.02,4,3,1.6182292485315806
0.2,0.005,2,3,1.600634700088614
0.1,0.01,3,5,1.6931875736119297
0.1,0.005,3,4,1.5607385589087914
0.1,0.02,3,3,1.5724656263757602
0.1,0.02,2,2,1.5614673479605135
0.1,0.005,4,4,1.67090850992341
0.1,0.01,2,5,1.5500959234494238
0.2,0.005,2,4,1.7166741433079766
0.2,0.005,2,4,1.75318644189533
0.1,0.02,2,2,1.4779837065578791
0.1,0.01,3,5,1.5539553641637498
0.2,0.005,3,5,1.5433247832552899
0.2,0.005,4,5,1.4835017429253854
0.2,0.01,3,2,1.6689529495050133
0.2,0.01,4,2,1.5604691332647096
0.2,0.005,2,4,1.6980963907990871
0.2,0.005,2,4,1.7251103432468315
0.2,0.02,2,3,1.6807308420076115
0.2,0.02,3,4,1.6297769238502122
0.2,0.005,3,5,1.5710521363081746
0.2,0.01,3,2,1.6645416540100693
0.2,0.005,4,5,1.7352505361339272
0.2,0.02,4,4,1.601865320147799
0.2,0.01,4,3,1.7316458236512904
0.2,0.02,2,3,1.724320768563407
0.2,0.02,3,4,1.6065751527364955
0.2,0.005,2,4,1.7342123518562025
0.2,0.005,3,5,1.6684204012528796
0.2,0.01,3,2,1.6372097013547628
0.2,0.01,2,2,1.6252185069399987
0.2,0.02,4,4,1.67259561378276
0.2,0.02,2,3,1.6946297296584072
0.2,0.02,3,4,1.5911704015316084
0.2,0.01,4,3,1.783028209710015
0.2,0.005,2,5,1.67555932153844
0.2,0.005,3,5,1.5480227273977607
0.2,0.01,3,2,1.5793407312929177
0.2,0.02,4,5,1.5361661283282326
0.2,0.02,2,4,1.6397446929912893
0.2,0.01,2,2,1.6673174498530838
0.2,0.02,3,4,1.5064688448892474
0.2,0.01,4,3,1.7611408808169329
0.2,0.005,2,5,1.6239757461117117
0.2,0.02,4,5,1.547217706016279
0.2,0.02,2,4,1.7538182117654253
0.2,0.005,3,5,1.7609551546459348
0.2,0.01,3,3,1.6894086996137962
0.2,0.02,3,4,1.7094533476135714
0.2,0.01,2,2,1.6672099421899162
0.2,0.01,4,3,1.6504630638884643
0.2,0.005,2,5,1.6638483316473445
0.2,0.02,2,4,1.582919534403696
0.2,0.02,4,5,1.583465116703217
0.2,0.02,3,5,1.6181763051077533
0.2,0.005,4,2,1.6870401166493465
0.2,0.01,3,3,1.7450510766545986
0.2,0.01,2,2,1.674691190230459
0.2,0.01,4,3,1.735587648021511
0.2,0.02,2,4,1.6232547401412873
0.2,0.02,4,5,1.6403782388871981
0.2,0.005,2,5,1.6481995334127795
0.2,0.02,3,5,1.6602973023767182
0.2,0.005,4,2,1.7000084539389388
0.2,0.01,3,3,1.718267480991606
0.2,0.01,2,2,1.6050349187036754
0.2,0.02,2,4,1.641459453535756
0.2,0.01,4,4,1.5911363908498524
0.2,0.02,4,5,1.506086668789211
0.2,0.02,3,5,1.5582008949260187
0.2,0.005,2,5,1.680346778610994
0.2,0.005,4,2,1.6004247493249844
0.2,0.01,3,3,1.7575092263281091
0.2,0.01,2,3,1.7705035554106285
0.2,0.02,2,5,1.5876986292979058
0.2,0.01,4,4,1.6814728398384355
0.2,0.02,3,5,1.5485556500223217
0.2,0.005,3,2,1.6048230856191223
0.2,0.005,4,2,1.7216708507490377
0.2,0.01,3,3,1.7284470819141207
0.2,0.02,2,5,1.536856261202085
0.2,0.01,2,3,1.7269757281100984
0.2,0.02,3,5,1.5827461322777268
0.2,0.01,4,4,1.7388355167905716
0.2,0.005,3,2,1.6746122591355048
0.2,0.005,4,2,1.678935360566683
0.2,0.02,2,5,1.4653306182372798
0.2,0.01,3,4,1.7511717021492086
0.2,0.02,4,2,1.6403555156860332
0.2,0.01,2,3,1.69007748361383
0.2,0.01,4,4,1.5979304855725374
0.2,0.005,3,2,1.66364047730395
0.2,0.02,2,5,1.5957828345779979
0.2,0.005,4,3,1.7509914405986917
0.2,0.01,3,4,1.653654402355005
